"","player_name","teamName","overs","maidens","runs_given","wickets","economy","innings_number","opposition","match_format","venue","date","city","batting_position"
"206","Harbhajan Singh",NA,"10.0","1","43","5","4.30","1","England","ODI","Mumbai","2002-02-03","",""
"207","AB Agarkar",NA,"9.5","1","44","5","4.47","1","Sri Lanka","ODI","Pune","2005-11-03","",""
"208","SP Gupte",NA,"32.4","19","45","5","1.37","3","New Zealand","Test","Mumbai (BS)","1955-12-02","",""
"209","IK Pathan",NA,"16.0","5","45","5","2.81","1","Bangladesh","Test","Dhaka","2004-12-10","",""
"210","PP Ojha",NA,"22.2","8","45","5","2.01","2","England","Test","Ahmedabad","2012-11-15","",""
"211","J Srinath",NA,"19.0","4","46","5","2.42","1","Pakistan","Test","Kolkata","1999-02-16","",""
"212","SA Durani",NA,"23.2","8","47","5","2.01","2","England","Test","Kolkata","1961-12-30","",""
"213","Mohammed Shami",NA,"13.1","0","47","5","3.56","3","West Indies","Test","Kolkata","2013-11-06","",""
"214","BS Bedi",NA,"16.4","4","48","5","2.88","2","New Zealand","Test","Chennai","1976-11-26","",""
"215","B Kumar",NA,"15.0","2","48","5","3.20","2","New Zealand","Test","Kolkata","2016-09-30","",""
"216","PP Ojha",NA,"18.0","6","49","5","2.72","3","West Indies","Test","Mumbai","2013-11-14","",""
"217","BS Chandrasekhar",NA,"20.5","4","50","5","2.40","3","England","Test","Chennai","1977-01-14","",""
"218","Arshad Ayub",NA,"33.0","11","50","5","1.51","3","New Zealand","Test","Mumbai","1988-11-24","",""
"219","SR Tendulkar",NA,"10.0","1","50","5","5.00","2","Pakistan","ODI","Kochi","2005-04-02","",""
"220","EAS Prasanna",NA,"29.0","13","51","5","1.75","1","New Zealand","Test","Hyderabad (Deccan)","1969-10-15","",""
"221","KD Ghavri",NA,"24.0","8","51","5","2.12","3","West Indies","Test","Bengaluru","1978-12-15","",""
"222","Harbhajan Singh",NA,"19.3","4","51","5","2.61","1","England","Test","Mohali","2001-12-03","",""
"223","R Ashwin",NA,"24.0","5","51","5","2.12","2","South Africa","Test","Mohali","2015-11-05","",""
"224","I Sharma",NA,"13.0","0","51","5","3.92","3","England","Test","Birmingham","2018-08-01","",""
"225","KD Ghavri",NA,"20.1","5","52","5","2.57","2","England","Test","Mumbai","1980-02-15","",""
"226","R Ashwin",NA,"16.0","2","52","5","3.25","1","West Indies","Test","Kingston","2016-07-30","",""
"227","Z Khan",NA,"25.0","8","53","5","2.12","2","New Zealand","Test","Wellington","2002-12-12","",""
"228","I Sharma",NA,"15.0","2","54","5","3.60","2","Sri Lanka","Test","Colombo (SSC)","2015-08-28","",""
"229","JJ Bumrah",NA,"18.5","2","54","5","2.86","2","South Africa","Test","Johannesburg","2018-01-24","",""
"230","JM Patel",NA,"25.4","7","55","5","2.14","4","Australia","Test","Kanpur","1959-12-19","",""
"231","BS Bedi",NA,"13.7","3","55","5","2.97","1","Australia","Test","Brisbane","1977-12-02","",""
"232","C Sharma",NA,"13.1","2","55","5","4.17","2","West Indies","Test","Delhi","1987-11-25","",""
"233","Harbhajan Singh",NA,"9.4","0","56","5","5.79","2","Sri Lanka","ODI","Colombo (RPS)","2009-09-14","",""
"234","R Ashwin",NA,"34.0","18","57","5","1.67","1","Australia","Test","Delhi","2013-03-22","",""
"235","Kuldeep Yadav",NA,"14.0","2","57","5","4.07","3","West Indies","Test","Rajkot","2018-10-04","",""
"236","N Kapil Dev",NA,"23.5","8","58","5","2.43","1","Pakistan","Test","Delhi","1979-12-04","",""
"237","N Kapil Dev",NA,"25.0","5","58","5","2.32","3","West Indies","Test","Port of Spain","1989-04-15","",""
"238","IK Pathan",NA,"18.5","3","58","5","3.07","1","Zimbabwe","Test","Bulawayo","2005-09-13","",""
"239","RA Jadeja",NA,"16.0","2","58","5","3.62","3","Australia","Test","Delhi","2013-03-22","",""
"240","RP Singh",NA,"16.3","3","59","5","3.57","3","England","Test","Lord's","2007-07-19","",""
"241","Harbhajan Singh",NA,"48.3","23","59","5","1.21","3","South Africa","Test","Kolkata","2010-02-14","",""
"242","SLV Raju",NA,"21.0","7","60","5","2.85","2","West Indies","Test","Mumbai","1994-11-18","",""
"243","BKV Prasad",NA,"19.0","6","60","5","3.15","1","South Africa","Test","Durban","1996-12-26","",""
"244","J Srinath",NA,"24.1","6","60","5","2.48","3","Zimbabwe","Test","Delhi","2000-11-18","",""
"245","A Kumble",NA,"14.0","2","60","5","4.28","4","Pakistan","Test","Bengaluru","2007-12-08","",""
"246","IK Pathan",NA,"17.1","4","61","5","3.55","1","Pakistan","Test","Karachi","2006-01-29","",""
"247","IK Pathan",NA,"10.0","0","61","5","6.10","2","Sri Lanka","ODI","Pallekele","2012-08-04","",""
"248","R Ashwin",NA,"49.1","26","61","5","1.24","4","South Africa","Test","Delhi","2015-12-03","",""
"249","A Kumble",NA,"31.0","10","62","5","2.00","3","Australia","Test","Kolkata","1998-03-18","",""
"250","SP Gupte",NA,"41.3","22","63","5","1.51","1","Pakistan","Test","Peshawar","1955-02-13","",""
