"","player_name","teamName","runs","balls_faced","4s","6s","strike_rate","innings_number","opposition","match_format","venue","date","city","batting_position"
"136","D Mongia",NA,"159","147","17","1","108.16","1","Zimbabwe","ODI","Guwahati","2002-03-19","",""
"137","RR Pant",NA,"159","189","15","1","84.12","1","Australia","Test","Sydney","2019-01-03","",""
"138","DB Vengsarkar",NA,"159","238","20","1","66.80","1","West Indies","Test","Delhi","1983-10-29","",""
"139","CA Pujara",NA,"159","306","19","1","51.96","1","New Zealand","Test","Hyderabad (Deccan)","2012-08-23","",""
"140","KL Rahul",NA,"158","303","15","3","52.14","2","West Indies","Test","Kingston","2016-07-30","",""
"141","DB Vengsarkar",NA,"157","-","-","1","-","3","West Indies","Test","Kolkata","1978-12-29","",""
"142","V Kohli",NA,"157","129","13","4","121.70","1","West Indies","ODI","Visakhapatnam","2018-10-24","",""
"143","DB Vengsarkar",NA,"157","264","21","0","59.46","3","England","Test","Lord's","1982-06-10","",""
"144","SM Gavaskar",NA,"156","352","13","0","44.31","2","West Indies","Test","Port of Spain","1976-03-24","",""
"145","SR Tendulkar",NA,"155","191","14","4","81.15","3","Australia","Test","Chennai","1998-03-06","",""
"146","VS Hazare",NA,"155","-","19","0","-","1","England","Test","Mumbai (BS)","1951-12-14","",""
"147","SM Gavaskar",NA,"155","293","24","1","52.90","2","Sri Lanka","Test","Chennai","1982-09-17","",""
"148","SR Tendulkar",NA,"155","184","23","1","84.23","1","South Africa","Test","Bloemfontein","2001-11-03","",""
"149","V Sehwag",NA,"155","221","21","0","70.13","2","Australia","Test","Chennai","2004-10-14","",""
"150","M Vijay",NA,"155","267","13","0","58.05","1","Sri Lanka","Test","Delhi","2017-12-02","",""
"151","VVS Laxman",NA,"154","396","17","0","38.88","3","West Indies","Test","Kolkata","2002-10-30","",""
"152","SR Tendulkar",NA,"154","243","14","1","63.37","2","Australia","Test","Sydney","2008-01-02","",""
"153","V Kohli",NA,"154","134","16","1","114.92","2","New Zealand","ODI","Mohali","2016-10-23","",""
"154","VM Merchant",NA,"154","-","-","0","-","2","England","Test","Delhi","1951-11-02","",""
"155","M Azharuddin",NA,"153","150","17","1","102.00","1","Zimbabwe","ODI","Cuttack","1998-04-09","",""
"156","SC Ganguly",NA,"153","150","18","3","102.00","1","New Zealand","ODI","Gwalior","1999-11-11","",""
"157","MAK Pataudi",NA,"153","-","29","0","-","2","New Zealand","Test","Kolkata","1965-03-05","",""
"158","DB Vengsarkar",NA,"153","-","-","0","-","2","Sri Lanka","Test","Nagpur","1986-12-27","",""
"159","R Dravid",NA,"153","153","15","2","100.00","1","New Zealand","ODI","Hyderabad (Deccan)","1999-11-08","",""
"160","SR Tendulkar",NA,"153","205","13","3","74.63","1","Australia","Test","Adelaide","2008-01-24","",""
"161","M Vijay",NA,"153","317","19","3","48.26","2","Australia","Test","Mohali","2013-03-14","",""
"162","CA Pujara",NA,"153","270","21","0","56.66","3","South Africa","Test","Johannesburg","2013-12-18","",""
"163","CA Pujara",NA,"153","265","13","0","57.73","1","Sri Lanka","Test","Galle","2017-07-26","",""
"164","V Kohli",NA,"153","217","15","0","70.50","2","South Africa","Test","Centurion","2018-01-13","",""
"165","RG Sharma",NA,"152","117","15","8","129.91","2","West Indies","ODI","Guwahati","2018-10-21","",""
"166","M Azharuddin",NA,"152","260","16","1","58.46","2","Sri Lanka","Test","Ahmedabad","1994-02-08","",""
"167","NR Mongia",NA,"152","366","18","1","41.53","2","Australia","Test","Delhi","1996-10-10","",""
"168","SR Tendulkar",NA,"152","151","18","0","100.66","1","Namibia","ODI","Pietermaritzburg","2003-02-23","",""
"169","V Sehwag",NA,"151","236","11","2","63.98","3","Australia","Test","Adelaide","2008-01-24","",""
"170","G Gambhir",NA,"150","137","14","0","109.48","2","Sri Lanka","ODI","Kolkata","2009-12-24","",""
"171","P Roy",NA,"150","-","-","0","-","3","West Indies","Test","Kingston","1953-03-28","",""
"172","DN Sardesai",NA,"150","-","20","0","-","2","West Indies","Test","Bridgetown","1971-04-01","",""
"173","G Gambhir",NA,"150","147","14","1","102.04","1","Sri Lanka","ODI","Colombo (RPS)","2009-02-05","",""
"174","M Vijay",NA,"150","272","12","1","55.14","1","Bangladesh","Test","Fatullah","2015-06-10","",""
"175","RG Sharma",NA,"150","133","13","6","112.78","2","South Africa","ODI","Kanpur","2015-10-11","",""
"176","Yuvraj Singh",NA,"150","127","21","3","118.11","1","England","ODI","Cuttack","2017-01-19","",""
"177","V Kohli",NA,"149","225","22","1","66.22","2","England","Test","Birmingham","2018-08-01","",""
"178","KL Rahul",NA,"149","224","20","1","66.51","4","England","Test","The Oval","2018-09-07","",""
"179","SR Tendulkar",NA,"148","213","14","0","69.48","2","Australia","Test","Sydney","1992-01-02","",""
"180","M Kaif",NA,"148","243","12","0","60.90","1","West Indies","Test","Gros Islet","2006-06-10","",""
"181","MAK Pataudi",NA,"148","348","15","1","42.52","3","England","Test","Leeds","1967-06-08","",""
"182","R Dravid",NA,"148","362","21","0","40.88","1","South Africa","Test","Johannesburg","1997-01-16","",""
"183","SR Tendulkar",NA,"148","244","20","3","60.65","1","Sri Lanka","Test","Mumbai","1997-12-03","",""
"184","R Dravid",NA,"148","307","23","0","48.20","1","England","Test","Leeds","2002-08-22","",""
"185","VVS Laxman",NA,"148","282","18","0","52.48","2","Australia","Test","Adelaide","2003-12-12","",""
"186","MS Dhoni",NA,"148","123","15","4","120.32","1","Pakistan","ODI","Visakhapatnam","2005-04-05","",""
"187","MS Dhoni",NA,"148","153","19","4","96.73","2","Pakistan","Test","Faisalabad","2006-01-21","",""
"188","PR Umrigar",NA,"147","-","16","0","-","1","England","Test","Kanpur","1961-12-01","",""
"189","SM Gavaskar",NA,"147","-","17","1","-","2","West Indies","Test","Georgetown","1983-03-31","",""
"190","SC Ganguly",NA,"147","312","19","2","47.11","2","Sri Lanka","Test","Colombo (SSC)","1997-08-09","",""
"191","V Sehwag",NA,"147","206","24","3","71.35","1","West Indies","Test","Mumbai","2002-10-09","",""
"192","AM Rahane",NA,"147","171","21","0","85.96","2","Australia","Test","Melbourne","2014-12-26","",""
"193","V Kohli",NA,"147","230","20","0","63.91","2","Australia","Test","Sydney","2015-01-06","",""
"194","RG Sharma",NA,"147","138","18","2","106.52","1","New Zealand","ODI","Kanpur","2017-10-29","",""
"195","VS Hazare",NA,"146","-","-","0","-","2","Pakistan","Test","Mumbai (BS)","1952-11-13","",""
"196","DB Vengsarkar",NA,"146","370","11","1","39.45","4","Pakistan","Test","Delhi","1979-12-04","",""
"197","R Dravid",NA,"146","266","20","0","54.88","2","England","Test","The Oval","2011-08-18","",""
